"Fiscal Year","Employer","Initial Approvals","Initial Denials","Continuing Approvals","Continuing Denials","NAICS","Tax ID","State","City","ZIP"
"2017","BOSIE STATE UNIVERSITY","1","0","0","0","61","","ID","BOISE","83725"
"2017","HOW WE FUND IT INC","0","0","0","1","51","","ID","COEUR D ALENE","83814"
"2017","PREMIER THERAPY LLC","0","0","1","0","62","","IL","BURR RIDGE","60527"
"2017","BETTER GOVERNMENT ASSOCIATION INC","1","0","0","0","81","","IL","CHICAGO","60606"
"2017","BIENESTAR PHARMACY III INC","1","0","0","0","44","","IL","CHICAGO","60608"
"2017","CORNERSTONE EVANGELICAL FREE CHURC","1","0","0","0","81","","IL","GLENVIEW","60025"
"2017","NATIONAL ASSOCIATION OF BOARDS OF","0","0","1","0","54","","IL","MOUNT PROSPECT","60056"
"2017","SUBURBAN MED & WELLNESS CTR","0","0","1","0","62","","IL","SCHAUMBURG","60173"
"2017","COMTEC CONULTANTS INC DBA COMTEC I","0","0","1","0","54","","LA","KENNER","70062"
"2017","THOMSON TEUTERS MGT SERVICES LLC","1","0","0","0","99","","MA","BOSTON","02210"
"2017","CONTENTORO INC","0","1","0","0","51","","MI","ANN ARBOR","48108"
"2017","MEDSTAR REHABILITATION SERVICE INC","1","0","0","0","62","","MI","CANTON","48187"
"2017","L&K ACCOUNTING PC","0","0","1","0","54","","MI","SOUTHFIELD","48034"
"2017","FANTHREESIXTY LLC","1","0","0","0","54","","MO","KANSAS CITY","64112"
"2017","UNIVERSITY OF NC AT ASHEVILLE","1","0","0","0","61","","NC","ASHEVILLE","28804"
"2017","UNIV OF N CAROLIN AT CHAPEL HILL","0","0","1","0","61","","NC","CHAPEL HILL","27599"
"2017","SUGAR CREEK CHARTER SCHOOL","1","0","0","0","61","","NC","CHARLOTTE","28206"
"2017","NEW MASSEYHILL PHARMACY LLC","1","0","0","0","44","","NC","FAYETTEVILLE","28306"
"2017","EMETEOR INC","0","0","0","1","54","","NJ","MONTVILLE","07045"
"2017","3B INTERNATIONAL LLC","0","0","1","0","42","","NJ","TOTOWA","07512"
"2017","DRAKE AUTOMOTIVE GROUP LLC","1","0","0","0","44","","NV","HENDERSON","89014"
"2017","FEINBERG PHARMA INC","0","0","1","0","44","","NY","BRONX","10453"
"2017","ALTANOVA ENERGY LLC","0","0","1","0","54","","NY","LONG ISLAND CITY","11101"
"2017","OMNIBUILD","0","0","1","0","99","","NY","NEW YORK","10001"
"2017","DM2 MEDIA LLC D/B/A DIGIDAY","0","0","1","0","51","","NY","NEW YORK","10013"
"2017","P/KAUFMANN INC","1","0","0","0","31","","NY","NEW YORK","10016"
"2017","FOREFRONT WEALTH MANAGEMENT PLLC","0","0","1","0","52","","NY","NEW YORK","10036"
"2017","H & H WOODWORKING INC","1","0","0","0","33","","NY","YONKERS","10701"
"2017","MARCO INDUSTRIES INC","1","0","0","0","99","","OK","TULSA","74145"
"2017","MELTZER & MELTZER LLC","1","0","0","0","54","","PA","ELKINS PARK","19027"
"2017","CUSTOMERS BANK","1","0","0","0","52","","PA","LANGHORNE","19047"
"2017","PHILADELPHIA PROCESSING INC","0","0","1","0","52","","PA","PAOLI","19301"
"2017","CASTOR DENTAL CARE LLC","0","0","1","0","62","","PA","PHILADELPHIA","19149"
"2017","CROSS THE POND LLC DBA RIVERFRONT","1","0","0","0","71","","PA","SCRANTON","18508"
"2017","KAMPO INC","0","0","1","0","51","","PA","WAYNE","19087"
"2017","UT MEDICAL GROUP DBA UNIV CLINICAL","1","0","0","0","62","","TN","MEMPHIS","38104"
"2017","BAZAARVOICE LTD","0","0","1","0","54","","TX","AUSTIN","78759"
"2017","JD FIELDS & COMPANY INC","0","0","1","0","99","","TX","HOUSTON","77007"
"2017","APEX CONSULTING GROUP INC","0","0","1","0","54","","TX","HOUSTON","77036"
"2017","SPIRIT ENVIRONMENTAL LLC","0","0","1","0","54","","TX","HOUSTON","77070"
"2017","WORLD LOGISTICS SVCS CORP LLC DBA","1","0","0","0","48","","TX","PASADENA","77504"
"2017","GIS FEDERAL LLC","0","0","1","0","51","","VA","ARLINGTON","22203"
"2017","CGI FEDERAL INC.","0","0","1","0","54","","VA","FAIRFAX","22033"
"2017","CHAMPLAIN IMAGING PLLC","1","0","0","0","62","","VT","SAINT ALBANS","05478"
"2017","DARCO INTERNATINOAL INC","0","0","1","0","42","","WV","HUNTINGTON","25701"
"2017","BRISTOL-MYERS SQUIBB COMPANY","1","0","0","0","32","0350","NJ","NEW BRUNSWICK","08903"
"2017","SANDHYA GOLI DMD LLC","0","0","1","0","62","4253","MA","WOBURN","01801"
"2017","ENTERPRISE BUSINESS SOLUTIONS INC","0","1","0","0","54","2767","VA","FALLS CHURCH","22043"
"2017","SDG CORPORATION","0","0","0","1","54","6860","CT","NORWALK","06854"
"2017","L L BEAN INC","1","0","1","0","33","6590","ME","FREEPORT","04033"
"2017","TD BANK NATIONAL ASSOCIATION","1","0","8","0","52","7770","NJ","MOUNT LAUREL","08054"
"2017","TD BANK N A","0","0","2","0","52","7770","NJ","MT LAUREL","08054"
"2017","HUSSEY SEATING COMPANY","0","0","1","0","33","9368","ME","NORTH BERWICK","03906"
"2017","CENTRAL MAINE MEDICAL CTR","0","0","1","0","62","1494","ME","LEWISTON","04240"
"2017","COLBY COLLEGE","3","0","5","0","61","1497","ME","WATERVILLE","04901"
"2017","EASTERN MAINE MEDICAL CENTER","8","0","17","1","62","1501","ME","BANGOR","04401"
"2017","EASTERN MAINE MEDICAL CENTER","1","0","0","0","61","1501","ME","BREWER","04412"
"2017","EASTERN MAINE MED CENTER","2","0","0","0","62","1501","ME","BREWER","04412"
"2017","THE JACKSON LAB","25","0","24","0","54","1513","ME","BAR HARBOR","04609"
"2017","BATES COLLEGE","1","0","0","0","61","1781","ME","LEWISTON","04240"
"2017","MOUNT DESERT ISLAND HOSPITAL","0","0","1","0","62","1797","ME","BAR HARBOR","04609"
"2017","UNIVERSITY OF NEW ENGLAND","3","0","2","0","61","1810","ME","BIDDEFORD","04005"
"2017","UNIVERSITY OF NEW ENGLAND","0","0","1","0","61","1810","ME","PORTLAND","04103"
"2017","MAINE CENTRAL INSTITUTE","1","0","1","0","61","2438","ME","PITTSFIELD","04967"
"2017","BOWDOIN COLLEGE","3","0","3","0","61","5213","ME","BRUNSWICK","04011"
"2017","JOHN HANCOCK LIFE INSURANCE CO USA","0","0","4","0","52","3346","MA","BOSTON","02116"
"2017","JOHN HANCOCK LIFE INSURANCE CO USA","6","0","15","0","52","3346","MA","BOSTON","02210"
"2017","MAINE MEDICAL CENTER","1","0","1","0","54","8552","ME","PORTLAND","04102"
"2017","HARRIMAN ASSOCIATES","1","0","0","0","54","4348","ME","AUBURN","04210"
"2017","MSAD NO 29 A/K/A R S U NO 29","0","1","0","0","61","9656","ME","HOULTON","04730"
"2017","HUSSON UNIVERSITY","1","0","0","0","61","1210","ME","BANGOR","04401"
"2017","REDINGTON FAIRVIEW GENERAL HOSP","1","0","1","0","62","4446","ME","SKOWHEGAN","04976"
"2017","COLGATE PALMOLIVE-TOMS OF MAINE","1","0","0","0","33","7460","ME","KENNEBUNK","04043"
"2017","HOSPITAL ADMIN DIST NO 4 DBA MAYO","1","0","0","0","62","9670","ME","DOVER FOXCROFT","04426"
"2017","TELIGENT INC","0","0","1","0","32","5758","NJ","BUENA","08310"
"2017","MAINE-DARTMOUTH FAMILY MEDICINE RE","1","0","0","0","62","9195","ME","AUGUSTA","04330"
"2017","THE AROOSTOOK MEDICAL CTR","0","0","1","0","62","2148","ME","BREWER","04412"
"2017","THE AROOSTOOK MEDICAL CENTER","5","0","2","0","62","2148","ME","PRESQUE ISLE","04769"
"2017","PINES HEALTH SERVICES","0","0","5","0","62","6890","ME","CARIBOU","04736"
"2017","SMRT INC","0","0","1","0","54","4169","ME","PORTLAND","04104"
"2017","IDEXX LABORATORIES INC","0","0","19","0","54","3723","ME","WESTBROOK","04092"
"2017","INLAND HOSPITAL","0","0","1","0","62","0420","ME","WATERVILLE","04901"
"2017","FHC INC","1","0","1","0","33","0884","ME","BOWDOIN","04287"
"2017","FHC INC","0","1","0","0","54","0884","ME","BOWDOIN","04287"
"2017","SENSOR RESEARCH DEVELOPMENT CORP","0","0","2","0","33","6184","ME","ORONO","04473"
"2017","SENSOR RESEARCH & DEVELOPMENT CORP","0","0","1","0","54","6184","ME","ORONO","04473"
"2017","SPECTRUM MEDICAL GROUP PA","1","0","0","0","62","0040","ME","SOUTH PORTLAND","04106"
"2017","NORDX","1","0","0","0","62","1356","ME","SCARBOROUGH","04074"
"2017","PENOBSCOT COMMUNITY HEALTH CARE","0","0","1","0","62","4750","ME","BANGOR","04401"
"2017","REVITAS INC","0","0","2","0","54","4931","ME","PORTLAND","04101"
"2017","VISION CARE OF MAINE LLC","0","0","1","0","62","5143","ME","BANGOR","04401"
"2017","TRC ENGINEERS LLC","1","0","2","0","54","6475","MA","BOSTON","02210"
"2017","WEX INC","0","0","4","0","52","6993","ME","SOUTH PORTLAND","04106"
"2017","EASTERN MAINE HEALTHCARE SYSTEMS","1","0","0","0","62","7066","ME","BREWER","04412"
"2017","WINXNET INC","1","0","0","0","54","8399","ME","PORTLAND","04104"
"2017","COMPOUNDING SOLUTIONS LLC","1","0","0","0","32","8909","ME","LEWISTON","04240"
"2017","GULF OF MAINE LOBSTER FOUNDATION","1","0","0","0","54","5494","MA","LEXINGTON","02420"
"2017","AIR AND LIQUID SYSTEMS INC","1","0","0","0","33","7892","MI","ROCHESTER HILLS","48307"
"2017","SOFTEX PAPER INC","0","0","1","0","32","9758","FL","PALATKA","32177"
"2017","BEN BARNES GROUP LP","0","1","0","0","54","9783","TX","AUSTIN","78701"
"2017","SCALABILITY EXPERTS INC","0","0","1","0","54","1468","TX","DALLAS","75234"
"2017","CKM ADVISORS LLC","1","0","1","0","54","1663","NY","NEW YORK","10018"
"2017","WOOD GROUP MUSTANG INC","2","0","9","0","54","1791","TX","HOUSTON","77084"
"2017","INFOGEN INC","0","0","1","0","54","1984","MI","ANN ARBOR","48108"
"2017","EVERCORE PARTNERS SERVICES E LLC","16","0","8","0","52","2543","NY","NEW YORK","10055"
"2017","EXIM FABRIC INC /DBA/ FABCONX","0","0","0","1","31","2684","CA","LOS ANGELES","90058"
"2017","BROOKS SCARPA","1","0","0","0","54","2842","CA","LOS ANGELES","90043"
"2017","FLORIDA PROTON THERAPY INST INC","0","0","1","0","61","4709","FL","JACKSONVILLE","32206"
"2017","KEBOK COM LLC","1","0","0","0","54","7070","MI","TROY","48098"
"2017","PARAMUS MEDICAL & SPORTS REHAB CTR","1","0","0","0","62","8502","NJ","PARAMUS","07652"
"2017","HRSOFT USA INC","1","0","2","0","54","0270","FL","MAITLAND","32751"
"2017","WILLIAMS & OLDS CERTIFIED PUBLIC A","1","0","0","0","54","0769","CA","SACRAMENTO","95825"
"2017","ONE CALL STAFFING INCOPORATED","0","1","0","0","56","3986","NY","HEMPSTEAD","11550"
"2017","WOOD MACKENZIE INC","0","0","2","0","54","4533","NY","NEW YORK","10018"
"2017","WOOD MACKENZIE INC","3","0","8","0","54","4533","TX","HOUSTON","77057"
"2017","MESRIANI ASSOCIATES A PLC","0","0","0","1","54","5936","CA","LOS ANGELES","90038"
"2017","CONSULTANTS IN INFECTIOUS DISEASES","0","0","1","0","62","6334","FL","SAINT PETERSBURG","33709"
"2017","MARKOV PROCESSES INTL INC DBA MPI","1","0","0","0","54","0792","NJ","SUMMIT","07901"
"2017","DIGITAS INC","3","0","6","0","54","2286","MA","BOSTON","02110"
"2017","NWEA LLC","1","0","0","0","33","3596","CA","SANTA CLARA","95050"
"2017","THE AKSHAYA PATRA FOUNDATION USA","0","1","0","0","81","4950","MA","STONEHAM","02180"
"2017","PIVOTAL Z LLC","0","0","1","0","54","6156","WA","BOTHELL","98021"
"2017","INTOUCH TECHNOLOGIES INC DBA INTOU","0","0","1","0","33","8577","CA","GOLETA","93117"
"2017","GLOBAL FORCE USA INC","1","0","1","0","54","9993","TX","HOUSTON","77074"
"2017","ALICE AND OLIVIA LLC","0","0","1","0","45","0869","NY","NEW YORK","10014"
"2017","RELIANCE WORLDWIDE CORPORATION","1","0","0","0","33","1131","GA","ATLANTA","30339"
"2017","S CAROLINA NEPHROLOGY & HYPERTENSI","0","0","2","0","54","1624","SC","ORANGEBURG","29118"
"2017","ADVANCED PURIFICATION ENGINEERING","0","0","1","0","22","7030","CA","CITY OF INDUSTRY","91745"
"2017","CLOVER CONSULTING INC","0","0","1","0","54","8298","MI","ROCKFORD","49341"
"2017","HEALTH PLAN SYSTEMS INC","1","0","0","0","54","9640","NJ","WOODBRIDGE","07095"
"2017","A1PLUSSOFT INC","0","0","1","0","54","2314","IL","CHICAGO","60654"
"2017","THE ONE CAMPAIGN","0","0","1","0","81","3565","DC","WASHINGTON","20005"
"2017","CISCON SERVICES INC","0","0","1","0","54","4176","TX","HOUSTON","77032"
"2017","COHSHEEN ASSOCIATES LLC","0","0","1","0","54","4641","NJ","ISELIN","08830"
"2017","NARDI ASSOCIATES LLP","0","0","1","0","54","4756","CA","MONROVIA","91016"
"2017","NT CONSULTING INC","0","0","1","0","54","8939","DE","NEWARK","19711"
"2017","KEMIRA CHEMICALS INC","2","0","2","0","22","8941","GA","ATLANTA","30339"
"2017","BOFFI LA LLC","0","0","1","0","54","9574","CA","LOS ANGELES","90048"
"2017","ROBBINS ARROYO LLP","1","0","0","0","54","3618","CA","SAN DIEGO","92101"
"2017","ASPECT SECURITY INC","0","0","1","0","54","3757","MD","COLUMBIA","21046"
"2017","HYPEROFFICE","0","0","1","0","51","6052","MD","DERWOOD","20855"
"2017","SIRI GROUP INC","6","0","0","0","54","9265","PA","KING OF PRUSSIA","19406"
"2017","INFOWAY CONSULTING INC","0","0","1","0","54","0596","WA","BELLEVUE","98007"
"2017","INTECH INVESTMENT MANAGEMENT LLC","1","0","0","0","52","4895","FL","WEST PALM BEACH","33401"
"2017","ENERGY RECOVERY INC","2","0","3","0","33","6867","CA","SAN LEANDRO","94577"
"2017","BLUE COVE CORP DBA AUGEN OPTICS","1","0","0","0","44","0668","CA","SAN DIEGO","92154"
"2017","3C DRILLING LLC","0","0","1","0","21","7722","PA","QUAKERTOWN","18951"
"2017","ATRIUM STAFFING OF NEW JERSEY LLC","1","0","0","0","56","6629","NJ","JERSEY CITY","07302"
"2017","TECHNICAL STRATEGIES INC","3","0","22","2","54","8930","VA","CHANTILLY","20151"
"2017","KIPP AUSTIN PUBLIC SCHOOLS","0","0","3","0","61","9602","TX","AUSTIN","78724"
"2017","AVENGER ENGINEERING","0","0","2","0","54","0863","GA","ALPHARETTA","30022"
"2017","JASON JACQUES INC","1","0","0","0","71","1157","NY","NEW YORK","10021"
"2017","DYNAMIC RATINGS INC","1","0","0","0","33","2517","WI","SUSSEX","53089"
"2017","CORPORATE RISK SOLUTIONS LLC","0","0","0","1","52","5765","NY","NEW YORK","10017"
"2017","SHIFT OCCUPATIONAL PHYSICAL THERPA","0","0","1","0","62","0594","NY","NEW YORK","10003"
"2017","LENOX TERRACE PHARMACY INC","0","0","1","0","44","2659","NY","NEW YORK","10037"
"2017","PERKINS WILL CRA LLC","0","0","1","0","54","4481","IL","CHICAGO","60611"
"2017","TRANSNATIONAL FOODS INC","0","0","0","1","42","4999","FL","MIAMI","33131"
"2017","SIMPLIFILE LC","0","0","1","0","51","8627","UT","PROVO","84604"
"2017","APEX LIFE SCIENCES LLC","1","0","0","0","56","0445","VA","GLEN ALLEN","23060"
"2017","BEYOND PACIFIC LLC","0","0","1","0","71","1067","NY","ARDSLEY","10502"
"2017","MRO CORPORATION","0","0","1","0","54","1910","PA","NORRISTOWN","19403"
"2017","ALERT LOGIC INC","0","0","1","0","54","3750","TX","HOUSTON","77056"
"2017","GLOBAL GAMING GROUP INC","1","0","0","0","54","3900","NV","LAS VEGAS","89120"
"2017","HURON CONSULTIN SERVICES LLC","3","1","27","1","54","6453","IL","CHICAGO","60603"
"2017","HURON CONSULTING SERVICES LLC","0","0","2","0","54","6453","IL","CHICAGO","60607"
"2017","GRAY ASSOCIATES INC","1","0","1","0","54","9606","MA","CONCORD","01742"
"2017","VT SAN ANTONIO AEROSPACE INC","1","0","7","2","48","1036","TX","SAN ANTONIO","78216"
"2017","CHF INDUSTRIES INC","0","0","1","0","31","1659","NC","CHARLOTTE","28217"
"2017","ROUTE 66 HOTELS LTD","0","0","1","0","72","6205","TX","AMARILLO","79109"
"2017","DOCTORS MAKING HOUSECALLS LLC","0","0","1","0","62","0697","NC","DURHAM","27713"
"2017","RARITAN PHARMACEUTICALS INC","0","0","2","0","32","0942","NJ","EAST BRUNSWICK","08816"
"2017","ACADEMIC MERIT","1","0","0","0","51","2699","MA","BOSTON","02210"
"2017","ALLEGIENT LLC","0","0","5","0","54","4862","IN","INDIANAPOLIS","46290"
"2017","AEROTEK SCIENTIFIC LLC","1","0","1","0","54","5775","MD","HANOVER","21076"
"2017","AGELOFF & ASSOCIATE PLLC DBA AGELO","1","0","0","0","54","5881","NY","NEW YORK","10010"
"2017","JAYA PRODUCTION SERVICES INC","0","0","1","0","51","5928","WA","SEATTLE","98119"
"2017","HIREZON CORPORATION DBA INTERVIEW","0","0","1","0","54","8663","MA","WESTBOROUGH","01581"
"2017","THE LAB LLC","0","0","1","0","54","9008","NY","NEW YORK","10001"
"2017","PCCW GLOBAL INC","1","0","1","0","51","3873","VA","HERNDON","20170"
"2017","A & R ENGINEERING INC","1","0","0","0","54","5242","GA","MARIETTA","30067"
"2017","MENDENHALL SMITH STRUCTURAL ENGR P","1","0","0","0","54","8539","NV","LAS VEGAS","89117"
"2017","INNOVATE INC","0","1","1","0","54","0529","VA","ALEXANDRIA","22310"
"2017","AGAMATRIX INC","0","0","1","0","54","5345","NH","SALEM","03079"
"2017","SUNFLOWER ELECTRIC POWER","0","0","1","0","22","7918","KS","HAYS","67601"
"2017","DEMOCRACY NOW","1","0","0","0","51","8733","NY","NEW YORK","10001"
"2017","FIRST COAST NO MORE HOMELESS PETS","0","0","1","0","54","9158","FL","JACKSONVILLE","32208"
"2017","RUSLAN CONSULTING INC","0","0","0","1","52","0616","NY","BROOKLYN","11204"
"2017","RUSLAN CONSULTING INC","0","0","0","1","54","0616","NY","BROOKLYN","11214"
"2017","OXYGEN DEVELOPMENT","0","0","1","0","32","5094","FL","WEST PALM BEACH","33406"
"2017","KK DENTAL ASSOCIATES LLC","0","0","1","0","62","8613","NJ","NORTH BRUNSWICK","08902"
"2017","BREEN ENERGY SOLUTIONS LLC","0","0","1","0","33","8634","PA","CARNEGIE","15106"
"2017","GORDON & MCCARTHY INC","0","0","1","0","54","8861","NY","REGO PARK","11374"
"2017","DELASOFT INC","1","0","44","4","54","2358","DE","NEW CASTLE","19720"
"2017","AMERICAN PUBLIC UNIVERSITY SYSTEM","0","0","2","0","61","4370","WV","CHARLES TOWN","25414"
"2017","JEFFERIES INVESTMENT ADVISERS LLC","0","0","1","0","52","4452","NY","NEW YORK","10022"
"2017","ANTON COLLINS MITCHELL LLP","1","0","0","0","54","4563","CO","DENVER","80203"
"2017","ARMO CONSULTANTS LLC","5","3","22","0","54","7102","NJ","PARSIPPANY","07054"
"2017","INTEGRATED FLOW SOLUTIONS LLC","2","0","2","0","54","7249","TX","TYLER","75708"
"2017","AMERICAN BEVERAGE DEPOT LLC","1","0","0","0","31","8023","FL","MIAMI","33166"
"2017","RELIAS LEARNING LLC","0","0","1","0","61","0157","NC","CARY","27519"
"2017","KUBER SURAJ DONUTS CORP DBA KUBER","0","0","1","0","55","2445","VA","VIRGINIA BEACH","23455"
"2017","GARVER LLC","2","0","0","0","54","3400","AR","NORTH LITTLE ROCK","72118"
"2017","INNOVATIONS USA INC DBA GASOLINE","0","0","1","0","42","4201","NJ","CLIFTON","07011"
"2017","SHIVAM INFOTECH INC","1","0","8","1","54","0867","NJ","KENDALL PARK","08824"
"2017","SHIVAM INFOTECH INC","0","0","1","0","54","0867","NJ","SOMERSET","08873"
"2017","SIGMA ENGINEERING INC","0","0","1","0","54","2498","IL","CHICAGO","60603"
"2017","MFXCHANGE US INC","0","0","0","1","52","8234","NJ","MORRISTOWN","07960"
"2017","MFXCHANGE US INC","0","0","3","0","54","8234","NJ","MORRISTOWN","07960"
"2017","IRRATIONAL GAMES LLC","1","0","0","0","51","2041","MA","WESTWOOD","02090"
"2017","SEJONG LLP","0","0","1","0","54","4454","NJ","FORT LEE","07024"
"2017","BUFFALO TRANSPORTATION INC","1","0","0","0","48","6512","NY","BUFFALO","14216"
"2017","JPAY INC","0","0","1","0","54","6761","FL","MIRAMAR","33025"
"2017","CVE TECHNOLOGY GROUP INC","0","0","1","0","81","8196","TX","PLANO","75074"
"2017","RIVERWALK EDUCATION FOUNDATION INC","0","0","15","0","61","8906","TX","SAN ANTONIO","78209"
"2017","DR KIMBERLY D HAUG P C","1","0","0","0","62","9255","IL","ALTON","62002"
"2017","GOLDFINE & COMPANY INC","1","0","0","0","54","3636","NY","NEW YORK","10005"
"2017","UCA GROUP INC","0","0","1","0","54","0143","IL","ELGIN","60123"
"2017","LINO INTERNATIONAL INC","1","0","0","0","33","1113","NY","FLUSHING","11354"
"2017","ARDEN ENGINEERING CONSTRUCTORS LLC","2","0","0","0","54","5457","RI","PAWTUCKET","02861"
"2017","CENTER FOR AUTOMOTIVE RESEARCH","1","0","0","0","54","9978","MI","ANN ARBOR","48108"
"2017","NETELLIGENT CORPORATION","0","0","1","0","54","0324","MO","CHESTERFIELD","63017"
"2017","PRIMEDOC OF RICHMOND PC DBA SOUND","0","0","1","0","62","1484","WA","TACOMA","98402"
"2017","PASSAGE TO INDIA, INC.","0","0","1","0","72","1976","MD","BETHESDA","20814"
"2017","IPLANNER INC","2","6","4","1","54","2992","TX","DALLAS","75240"
"2017","GRANITE MARBLE AND MORE INC","1","0","0","0","42","5191","IN","RICHMOND","47374"
"2017","MMR RESEARCH WORLDWIDE INC","0","0","1","0","54","8273","NY","NEW YORK","10016"
"2017","INVENSENSE INC","4","1","11","0","33","9977","CA","SAN JOSE","95110"
"2017","INVENSENSE INC","0","1","1","0","33","9977","NJ","EAST BRUNSWICK","08816"
"2017","INTERFYSIO LLC","3","1","4","0","62","4134","NY","NEW YORK","10006"
"2017","INTERFYSIO LLC","3","1","3","0","62","4134","NY","NEW YORK","10105"
"2017","RINGLEAD INC","0","0","1","0","54","6044","NY","HUNTINGTON","11743"
"2017","THE RODENBURG GPR INCORPORATED DBA","0","0","0","1","54","6522","NE","OMAHA","68154"
"2017","TEL TECHNOLOGY CENTER AMERICA LLC","2","0","0","0","54","6804","NY","ALBANY","12203"
"2017","AAAPKR LLC","0","0","0","1","72","7458","FL","ORLANDO","32819"
"2017","CENTERPOINT ENERGY SERVICE CO LLC","0","0","4","0","22","1509","TX","HOUSTON","77002"
"2017","SARGA SOLUTIONS INC","1","0","4","1","54","3037","VA","HERNDON","20170"
"2017","DELIGHT CONSULTING SERVICES LLC","1","2","7","0","54","3986","MI","ROCHESTER","48307"
"2017","WOOD GROUP PSN INC","0","0","1","0","54","6812","TX","HOUSTON","77094"
"2017","NIRVANA INFO TECH INC","1","0","0","0","54","8063","CA","NEWARK","94560"
"2017","COVANT SOLUTIONS INC","1","0","25","1","54","8309","DE","NEWARK","19713"
"2017","J AND J WIRING AND MECHANICAL LTD","0","0","1","0","23","9684","NY","PLEASANTVILLE","10570"
"2017","ADVENTA CORPORATION","0","0","1","0","33","1020","AL","HARVEST","35749"
"2017","ADVENTA CORP","0","0","1","0","54","1020","NY","NEW YORK","10025"
"2017","ACQUALINA MANAGEMENT LLC D/B/A ACQ","0","0","1","0","72","1837","FL","MIAMI","33131"
"2017","MAGNETI MARELLI HOLDING USA LLC","1","0","9","0","55","2046","MI","AUBURN HILLS","48326"
"2017","IMAGINE LEARNING INC","0","0","1","0","61","4204","UT","PROVO","84604"
"2017","SMK SOFT INC","1","0","0","0","54","5808","VA","HERNDON","20171"
"2017","SMK SOFT INC","0","1","0","0","54","5808","VA","VIENNA","22182"
"2017","RAJA FOODS HOUSTON LLC","0","0","1","0","44","0020","TX","HOUSTON","77026"
"2017","SOFTWARE TECHNOLOGY INC","0","1","12","2","54","2181","NJ","PRINCETON","08540"
"2017","ADVANCED COOLING TECHNOLOGIES INC","1","0","0","0","99","2413","CA","LIVERMORE","94551"
"2017","360 DEGREE CUSTOMER INC","2","0","0","0","62","2463","CA","SAN JOSE","95134"
"2017","J W NUTRITIONAL LLC","1","0","0","0","32","2836","TX","ALLEN","75013"
"2017","HENDRICKSON USA L L C","1","0","1","0","33","5246","IL","ITASCA","60143"
"2017","HENDRICKSON USA L L C","1","0","0","0","33","5246","IL","WOODRIDGE","60517"
"2017","DONGSHENG FOODS USA INC","1","0","0","0","42","5338","CA","SUNNYVALE","94086"
